dataset,model,model_config,model_name,fraction,unlabeled_ratio,run,epoch,loss,g_loss,d_loss,d_loss_sup,d_loss_unsup,c_loss,accuracy,macro_f1,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1
mams,baseline,,baseline,0.025,,0,0.0,1.4794442653656006,,,,,,0.2951388955116272,0.2805197238922119,1.3955782651901243,0.1228125020861625,0.1019343584775924,1.3976151943206787,0.1268749982118606,0.1002459973096847
mams,baseline,,baseline,0.025,,0,1.0,1.4039055109024048,,,,,,0.28125,0.2791686952114105,1.3830053806304932,0.1075000017881393,0.0980580151081085,1.382015347480774,0.1121874973177909,0.0972582623362541
mams,baseline,,baseline,0.025,,0,2.0,1.4113364219665527,,,,,,0.28125,0.2810029685497284,1.3651859760284424,0.1790625005960464,0.1906906366348266,1.3646588325500488,0.1703124940395355,0.1670527160167694
mams,baseline,,baseline,0.025,,0,3.0,1.354920506477356,,,,,,0.3194444477558136,0.3199202716350555,1.3323984146118164,0.3149999976158142,0.2643235027790069,1.3369805812835691,0.309374988079071,0.2482305467128753
mams,baseline,,baseline,0.025,,0,4.0,1.3280795812606812,,,,,,0.3472222089767456,0.3469304740428924,1.2568392753601074,0.3350000083446502,0.3064311742782593,1.2702906131744385,0.3146874904632568,0.2649617195129394
mams,baseline,,baseline,0.025,,1,0.0,1.4375041723251345,,,,,,0.2763157784938812,0.2629513740539551,1.4250552654266355,0.1331250071525573,0.1455874741077423,1.4160447120666504,0.1462499946355819,0.1593970507383346
mams,baseline,,baseline,0.025,,1,1.0,1.3344179391860962,,,,,,0.3453947305679321,0.3383960127830505,1.376480221748352,0.1262499988079071,0.1401063203811645,1.3650227785110474,0.1343750059604644,0.1508677899837494
mams,baseline,,baseline,0.025,,1,2.0,1.2915456295013428,,,,,,0.3881579041481018,0.3441009819507599,1.375276803970337,0.1568749994039535,0.1501440107822418,1.3609570264816284,0.1728125065565109,0.1634466052055359
mams,baseline,,baseline,0.025,,1,3.0,1.2485508918762207,,,,,,0.4210526347160339,0.3851116597652435,1.320215940475464,0.1924999952316284,0.1759582161903381,1.2961304187774658,0.2049999982118606,0.1950527727603912
mams,baseline,,baseline,0.025,,1,4.0,1.2079861164093018,,,,,,0.4309210479259491,0.3844054937362671,1.210419774055481,0.5034375190734863,0.3321933150291443,1.191108226776123,0.5199999809265137,0.3469980657100677
mams,baseline,,baseline,0.025,,2,0.0,1.4663419723510742,,,,,,0.2263513505458831,0.1665273904800415,1.3069456815719604,0.3834375143051147,0.2237980216741562,1.3085381984710691,0.387499988079071,0.2231408655643463
mams,baseline,,baseline,0.025,,2,1.0,1.3671131134033203,,,,,,0.3006756901741028,0.3027039170265198,1.364650845527649,0.2303124964237213,0.2330318093299865,1.3673423528671265,0.2309374958276748,0.2343103736639022
mams,baseline,,baseline,0.025,,2,2.0,1.3354151248931885,,,,,,0.3682432472705841,0.3633193373680115,1.3797705173492432,0.2115624994039535,0.2277076840400695,1.382170557975769,0.205312505364418,0.224029004573822
mams,baseline,,baseline,0.025,,2,3.0,1.2627414464950562,,,,,,0.4290540516376495,0.4093431532382965,1.3297927379608154,0.2643750011920929,0.2555092871189117,1.3323211669921875,0.2565625011920929,0.2522544264793396
mams,baseline,,baseline,0.025,,2,4.0,1.1765209436416626,,,,,,0.4594594538211822,0.4463702142238617,1.333629488945007,0.2300000041723251,0.2425179034471511,1.3391577005386353,0.2249999940395355,0.2374448478221893
mams,baseline,,baseline,0.025,,3,0.0,1.410666584968567,,,,,,0.2398648709058761,0.2313899248838424,1.4110358953475952,0.1903125047683715,0.1548708379268646,1.415399432182312,0.1737499982118606,0.1419137269258499
mams,baseline,,baseline,0.025,,3,1.0,1.3198593854904177,,,,,,0.3547297418117523,0.353667676448822,1.3051446676254272,0.4318749904632568,0.2870264947414398,1.306961178779602,0.4393750131130218,0.2979749739170074
mams,baseline,,baseline,0.025,,3,2.0,1.2698032855987549,,,,,,0.3885135054588318,0.3884521722793579,1.3033474683761597,0.453125,0.3091345429420471,1.304789423942566,0.4581249952316284,0.3185349702835083
mams,baseline,,baseline,0.025,,3,3.0,1.1921230554580688,,,,,,0.472972959280014,0.4547825455665588,1.159724235534668,0.5706250071525574,0.3566215932369232,1.1634398698806765,0.5715625286102295,0.3620359003543854
mams,baseline,,baseline,0.025,,3,4.0,1.0728470087051392,,,,,,0.5506756901741028,0.5215991735458374,1.1503443717956543,0.5631250143051147,0.3928088247776031,1.1546359062194824,0.5696874856948853,0.4010587930679321
mams,baseline,,baseline,0.025,,4,0.0,1.4913221597671509,,,,,,0.2337662279605865,0.164365530014038,1.3680996894836426,0.1343750059604644,0.1557628661394119,1.3706889152526855,0.1403124928474426,0.1627731621265411
mams,baseline,,baseline,0.025,,4,1.0,1.3266810178756714,,,,,,0.3668831288814544,0.3477039337158203,1.3531203269958496,0.2059375047683715,0.1952655762434005,1.356899380683899,0.2037499994039535,0.1915024518966674
mams,baseline,,baseline,0.025,,4,2.0,1.2444959878921509,,,,,,0.4253246784210205,0.4120124578475952,1.4032375812530518,0.234375,0.2370286583900451,1.4062166213989258,0.2378125041723251,0.2444836348295211
mams,baseline,,baseline,0.025,,4,3.0,1.144160509109497,,,,,,0.4707792103290558,0.4758498072624206,1.271835207939148,0.4362500011920929,0.3466026186943054,1.2748419046401978,0.4428125023841858,0.3566206097602844
mams,baseline,,baseline,0.025,,4,4.0,1.021305799484253,,,,,,0.5779221057891846,0.5772420167922974,1.1868079900741575,0.5024999976158142,0.3631299138069153,1.1913985013961792,0.5153124928474426,0.3804355263710022
mams,baseline,,baseline,0.05,,0,0.0,1.4254140853881836,,,,,,0.285256415605545,0.269629418849945,1.4486944675445557,0.1171875,0.1384821981191635,1.4477975368499756,0.1265625059604644,0.1523914933204651
mams,baseline,,baseline,0.05,,0,1.0,1.3183904886245728,,,,,,0.3685897290706634,0.3401904106140136,1.3776803016662598,0.1400000005960464,0.1738565266132354,1.3767151832580566,0.142812505364418,0.1788474023342132
mams,baseline,,baseline,0.05,,0,2.0,1.220105767250061,,,,,,0.4407051205635071,0.4048148989677429,1.3623249530792236,0.1456249952316284,0.1815271079540252,1.36017107963562,0.147499993443489,0.1830466240644455
mams,baseline,,baseline,0.05,,0,3.0,1.1302247047424316,,,,,,0.5032051205635071,0.4412301182746887,1.3372771739959717,0.1528124958276748,0.1914609968662262,1.330289602279663,0.1609375029802322,0.2068696022033691
mams,baseline,,baseline,0.05,,0,4.0,1.0311589241027832,,,,,,0.5480769276618958,0.5094637274742126,1.2259262800216677,0.2865625023841858,0.3053887486457824,1.2117804288864136,0.3050000071525574,0.3214742541313171
mams,baseline,,baseline,0.05,,1,0.0,1.4088482856750488,,,,,,0.2750000059604645,0.2677315473556518,1.3837432861328125,0.1334374994039535,0.1442555487155914,1.3790627717971802,0.1375000029802322,0.1473618745803833
